Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[morphology]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[plate identifier]	Term Source REF	Term Accession Number	Parameter Value[well coordinate]	Term Source REF	Term Accession Number	Parameter Value[actual dose]	Unit	Term Source REF	Term Accession Number	Sample Name	Factor Value[compound]	Term Source REF	Term Accession Number	Factor Value[discretized dose]	Term Source REF	Term Accession Number	Factor Value[dose]	Unit	Term Source REF	Term Accession Number	Factor Value[timepoint]	Unit	Term Source REF	Term Accession Number
<184B5>-<GF2>-plate2-D02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D02	BTC - Betacellulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D03	BTC - Betacellulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D04	BTC - Betacellulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D05	BTC - Betacellulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D06	BTC - Betacellulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D07	IGF2 - Insulin-like Growth Factor 2			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D08	IGF2 - Insulin-like Growth Factor 2			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D09	IGF2 - Insulin-like Growth Factor 2			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D10	IGF2 - Insulin-like Growth Factor 2			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D11	IGF2 - Insulin-like Growth Factor 2			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-D12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			D12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-D12	IGF2 - Insulin-like Growth Factor 2			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E01	HRGbeta1 - Heregulin beta1			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E02	HRGbeta1 - Heregulin beta2			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E03	HRGbeta1 - Heregulin beta3			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E04	HRGbeta1 - Heregulin beta4			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E05	HRGbeta1 - Heregulin beta5			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E06	HRGbeta1 - Heregulin beta6			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E07	SCF - Stem Cell Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E08	SCF - Stem Cell Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E09	SCF - Stem Cell Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E10	SCF - Stem Cell Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E11	SCF - Stem Cell Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-E12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			E12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-E12	SCF - Stem Cell Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F01	vehicle control			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F02	vehicle control			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F03	vehicle control			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F04	vehicle control			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F05	vehicle control			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F06	vehicle control			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F07	HGF - Hepatocyte Growth Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F08	HGF - Hepatocyte Growth Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F09	HGF - Hepatocyte Growth Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F10	HGF - Hepatocyte Growth Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F11	HGF - Hepatocyte Growth Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-F12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			F12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-F12	HGF - Hepatocyte Growth Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G01	FGF1 - Fibroblast Growth Factor (acidic)			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G02	FGF1 - Fibroblast Growth Factor (acidic)			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G03	FGF1 - Fibroblast Growth Factor (acidic)			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G04	FGF1 - Fibroblast Growth Factor (acidic)			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G05	FGF1 - Fibroblast Growth Factor (acidic)			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G06	FGF1 - Fibroblast Growth Factor (acidic)			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G07	PDGFBB - Platelet Derived Growth Factor BB			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G08	PDGFBB - Platelet Derived Growth Factor BB			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G09	PDGFBB - Platelet Derived Growth Factor BB			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G10	PDGFBB - Platelet Derived Growth Factor BB			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G11	PDGFBB - Platelet Derived Growth Factor BB			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-G12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			G12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-G12	PDGFBB - Platelet Derived Growth Factor BB			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H01	bFGF (FGF2) - Fibroblast Growth Factor (basic)			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H02	bFGF (FGF2) - Fibroblast Growth Factor (basic)			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H03	bFGF (FGF2) - Fibroblast Growth Factor (basic)			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H04	bFGF (FGF2) - Fibroblast Growth Factor (basic)			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H05	bFGF (FGF2) - Fibroblast Growth Factor (basic)			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H06	bFGF (FGF2) - Fibroblast Growth Factor (basic)			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H07	EFNA1 - Ephrin A1			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H08	EFNA1 - Ephrin A1			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H09	EFNA1 - Ephrin A1			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H10	EFNA1 - Ephrin A1			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H11	EFNA1 - Ephrin A1			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF2>-plate2-H12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF2>-plate2			H12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF2>-plate2-H12	EFNA1 - Ephrin A1			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
#comment line to indicate start of a new plate																																			
<184B5>-<GF3>-plate3-A01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF3>-plate3			A01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF3>-plate3-A01	VEGF-165 - Vascular endothelial growth factor A			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF3>-plate3-A02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF3>-plate3			A02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF3>-plate3-A02	VEGF-165 - Vascular endothelial growth factor A			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF3>-plate3-A03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF3>-plate3			A03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF3>-plate3-A03	VEGF-165 - Vascular endothelial growth factor A			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF3>-plate3-A04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF3>-plate3			A04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF3>-plate3-A04	VEGF-165 - Vascular endothelial growth factor A			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF3>-plate3-A05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF3>-plate3			A05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF3>-plate3-A05	VEGF-165 - Vascular endothelial growth factor A			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF3>-plate3-A06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF3>-plate3			A06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF3>-plate3-A06	VEGF-165 - Vascular endothelial growth factor A			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
